id ;luna;nombre                               ;disponibilidad;tags
36 ;4   ;The Hole in the Desert               ;mid_story     ;[sand,captures,multi_moon]
37 ;5   ;Overlooking the Desert Town          ;base          ;[sand,tostarena]
38 ;6   ;Alcove in the Ruins                  ;base          ;[sand,mario,ruins]
39 ;7   ;On the Leaning Pillar                ;base          ;[sand,mario,ruins]
40 ;8   ;Hidden Room in the Flowing Sands     ;base          ;[sand,ruins]
41 ;9   ;Secret of the Mural                  ;base          ;[sand,8bit,ruins]
42 ;10  ;Secret of the Inverted Mural         ;base          ;[sand,8bit,pyramid]
43 ;11  ;On Top of the Stone Archway          ;base          ;[sand,mario,ruins]
44 ;12  ;From a Crate in the Ruins            ;base          ;[sand,ruins,wooden_crates]
45 ;13  ;On the Lone Pillar                   ;base          ;[sand,mario]
46 ;14  ;On the Statue's Tail                 ;base          ;[sand,cappy,jaxi,pyramid]
47 ;15  ;Hang Your Hat on the Fountain        ;world_peace   ;[sand,cappy,tostarena]
48 ;16  ;Where the Birds Gather               ;base          ;[sand,birds,ground_pound,oasis]
49 ;17  ;Top of a Dune                        ;base          ;[sand,ground_pound]
50 ;18  ;Lost in the Luggage                  ;base          ;[sand,ground_pound]
51 ;19  ;Bullet Bill Breakthrough             ;mid_story     ;[sand,bullet_bill,cages,captures,ruins]
52 ;20  ;Inside a Block Is a Hard Place       ;base          ;[sand,blocks,bullet_bill,captures,ruins]
53 ;21  ;Bird Traveling the Desert            ;base          ;[sand,birds,tostarena]
54 ;22  ;Bird Traveling the Wastes            ;world_peace   ;[sand,birds]
55 ;23  ;The Lurker Under the Stone           ;world_peace   ;[sand,ground_pound,lurker_rumble,pyramid]
56 ;24  ;The Treasure of Jaxi Ruins           ;base          ;[sand,jaxi,treasure_chest]
57 ;25  ;Desert Gardening: Plaza Seed         ;base          ;[sand,seeds,tostarena]
58 ;26  ;Desert Gardening: Ruins Seed         ;base          ;[sand,seeds,tostarena]
59 ;27  ;Desert Gardening: Seed on the Cliff  ;base          ;[sand,seeds,tostarena]
60 ;28  ;Sand Kingdom Timer Challenge 1       ;world_peace   ;[sand,timer_challenge]
61 ;29  ;Sand Kingdom Timer Challenge 2       ;world_peace   ;[sand,captures,key,switch,timer_challenge]
62 ;30  ;Sand Kingdom Timer Challenge 3       ;world_peace   ;[sand,timer_challenge]
63 ;31  ;Found in the Sand! Good Dog!         ;world_peace   ;[sand,fauna,ground_pound,tostarena]
64 ;32  ;Taking Notes: Jump on the Palm       ;base          ;[sand,music_note,oasis]
65 ;33  ;Herding Sheep in the Dunes           ;base          ;[sand,fauna]
66 ;34  ;Fishing in the Oasis                 ;world_peace   ;[sand,captures,lakitu_fishing,oasis]
67 ;35  ;Love in the Heart of the Desert      ;world_peace   ;[sand,captures,goomba,ruins]
68 ;36  ;Among the Five Cactuses              ;base          ;[sand,cactus_tree,captures]
69 ;37  ;You're Quite a Catch - Captain Toad! ;world_peace   ;[sand,captain_toad,captures,lakitu_fishing,oasis]
70 ;38  ;Jaxi Reunion!                        ;world_peace   ;[sand,jaxi,oasis]
71 ;39  ;Welcome Back - Jaxi!                 ;world_peace   ;[sand,jaxi,pyramid]
72 ;40  ;Wandering Cactus                     ;base          ;[sand,cactus_tree,captures,ground_pound,oasis]
73 ;41  ;Sand Quiz: Wonderful!                ;base          ;[sand,sphynx]
74 ;42  ;Shopping in Tostarena                ;base          ;[sand,shop,tostarena]
75 ;43  ;Employees Only                       ;base          ;[sand,tostarena]
76 ;44  ;Sand Kingdom Slots                   ;base          ;[sand,cappy,minigame,tostarena]
77 ;45  ;Walking the Desert!                  ;base          ;[sand,minigame,npc]
78 ;46  ;Hidden Room in the Inverted Pyramid  ;base          ;[sand,pyramid,treasure_chest]
79 ;47  ;Underground Treasure Chest           ;mid_story     ;[sand,bullet_bill,captures,ice,treasure_chest]
80 ;48  ;Goomba Tower Assembly                ;mid_story     ;[sand,captures,goomba,ice]
81 ;49  ;Under the Mummy's Curse              ;world_peace   ;[sand,ice]
82 ;50  ;Ice Cave Treasure                    ;base          ;[sand,ice]
83 ;51  ;Sphynx's Treasure Vault              ;base          ;[sand,sphynx,treasure_chest]
84 ;52  ;A Rumble from the Sandy Floor        ;base          ;[sand,ground_pound,lurker_rumble,tostarena]
85 ;53  ;Dancing with New Friends             ;base          ;[sand,outfit_door,tostarena]
86 ;54  ;The Invisible Maze                   ;base          ;[sand,captures,sub_area]
87 ;55  ;Skull Sign in the Transparent Maze   ;base          ;[sand,cappy,captures,sub_area]
88 ;56  ;The Bullet Bill Maze: Break Through! ;base          ;[sand,bullet_bill,captures,sub_area]
89 ;57  ;The Bullet Bill Maze: Side Path      ;base          ;[sand,bullet_bill,captures,sub_area]
90 ;58  ;Jaxi Driver                          ;base          ;[sand,jaxi,sub_area]
91 ;59  ;Jaxi Stunt Driving                   ;base          ;[sand,jaxi,music_note,sub_area]
92 ;60  ;Strange Neighborhood                 ;world_peace   ;[sand,mini_rocket,tostarena]
93 ;61  ;Above a Strange Neighborhood         ;world_peace   ;[sand,mini_rocket,tostarena]
94 ;62  ;Secret Path to Tostarena!            ;mid_story     ;[sand,artistic,painting]
95 ;1   ;Broodals Over the Lake               ;base          ;[lake,multi_moon]
96 ;2   ;Dorrie-Back Rider                    ;base          ;[lake,dorrie]
97 ;3   ;Cheep Cheep Crossing                 ;base          ;[lake,cheep_cheep]
98 ;4   ;End of the Hidden Passage            ;base          ;[lake,captures,zipper]
99 ;5   ;What's in the Box?                   ;base          ;[lake,wooden_crates]
100;6   ;On the Lakeshore                     ;base          ;[lake,ground_pound]
101;7   ;From the Broken Pillar               ;base          ;[lake,ground_pound]
102;8   ;Treasure in the Spiky Waterway       ;base          ;[lake,treasure_chest]
103;9   ;Lake Gardening: Spiky Passage Seed   ;world_peace   ;[lake,seeds]
104;10  ;Lake Kingdom Timer Challenge 1       ;world_peace   ;[lake,timer_challenge]
105;11  ;Lake Kingdom Timer Challenge 2       ;world_peace   ;[lake,timer_challenge]
106;12  ;Moon Shards in the Lake              ;base          ;[lake,moon_shard]
107;13  ;Taking Notes: Dive and Swim          ;base          ;[lake,music_note]
108;14  ;Taking Notes: In the Cliffside       ;base          ;[lake,8bit,music_note]
109;15  ;Lake Fishing                         ;world_peace   ;[lake,captures,lakitu_fishing]
110;16  ;I Met a Lake Cheep Cheep!            ;world_peace   ;[lake,captures,cheep_cheep,npc]
111;17  ;Our Secret Little Room               ;base          ;[lake,npc]
112;18  ;Let's Go Swimming - Captain Toad!    ;base          ;[lake,captain_toad,captures,cheep_cheep]
113;19  ;Shopping in Lake Lamode              ;base          ;[lake,shop]
114;20  ;A Successful Repair Job              ;world_peace   ;[lake,captures]
115;21  ;I Feel Underdressed                  ;base          ;[lake,cappy,outfit_door]
116;22  ;Unzip the Chasm                      ;base          ;[lake,captures,key,sub_area,zipper]
117;23  ;Super-Secret Zipper                  ;base          ;[lake,captures,sub_area,zipper]
118;24  ;Jump - Grab - Cling - and Climb      ;base          ;[lake,ledge_grab,sub_area]
119;25  ;Jump - Grab - and Climb Some More    ;base          ;[lake,ledge_grab,sub_area,treasure_chest]
120;26  ;Secret Path to Lake Lamode!          ;mid_story     ;[lake,artistic,painting,treasure_chest]
121;27  ;Found with Lake Kingdom Art          ;world_peace   ;[lake,artistic,ground_pound,hint_art]
122;1   ;Road to Sky Garden                   ;base          ;[wooded,story_moon]
123;2   ;Flower Thieves of Sky Garden         ;base          ;[wooded,multi_moon]
124;3   ;Path to the Secret Flower Field      ;mid_story     ;[wooded,captures,story_moon]
125;4   ;Defend the Secret Flower Field!      ;mid_story     ;[wooded,captures,multi_moon]
126;5   ;Behind the Rock Wall                 ;mid_story     ;[wooded,blocks,captures,sherm]
127;6   ;Back Way Up the Mountain             ;mid_story     ;[wooded,8bit]
128;7   ;Rolling Rock in the Woods            ;base          ;[wooded,shiny_rocks]
129;8   ;Caught Hopping in the Forest!        ;base          ;[wooded,rabbit]
130;9   ;Thanks for the Charge!               ;mid_story     ;[wooded,ground_pound]
131;10  ;Atop the Tall Tree                   ;base          ;[wooded,captures,nut,uproot]
132;11  ;Tucked Away Inside the Tunnel        ;base          ;[wooded,captures,nut,uproot]
133;12  ;Over the Cliff's Edge                ;mid_story     ;[wooded,nut]
134;13  ;The Nut 'Round the Corner            ;base          ;[wooded,captures,nut,uproot]
135;14  ;Climb the Cliff to Get the Nut       ;base          ;[wooded,captures,nut,uproot]
136;15  ;The Nut in the Red Maze              ;base          ;[wooded,captures,nut,uproot]
137;16  ;The Nut at the Dead End              ;base          ;[wooded,captures,nut,uproot]
138;17  ;Cracked Nut on a Crumbling Tower     ;base          ;[wooded,nut]
139;18  ;The Nut that Grew on the Tall Fence  ;mid_story     ;[wooded,nut]
140;19  ;Fire in the Cave                     ;base          ;[wooded,cappy,captures]
141;20  ;Hey Out There - Captain Toad!        ;world_peace   ;[wooded,captain_toad,captures,glydon]
142;21  ;Love in the Forest Ruins             ;mid_story     ;[wooded,captures,goomba]
143;22  ;Inside a Rock in the Forest          ;world_peace   ;[wooded,blocks,captures,sherm]
144;23  ;Shopping in Steam Gardens            ;base          ;[wooded,shop]
145;24  ;Nut Planted in the Tower             ;base          ;[wooded,captures,nut,uproot]
146;25  ;Stretching Your Legs                 ;base          ;[wooded,captures,uproot]
147;26  ;Spinning-Platforms Treasure          ;mid_story     ;[wooded,nut]
148;27  ;Make the Secret Flower Field Bloom   ;world_peace   ;[wooded,cappy,flora]
149;28  ;Rolling Rock in the Deep Woods       ;base          ;[wooded,deep_woods,shiny_rocks]
150;29  ;Glowing in the Deep Woods            ;base          ;[wooded,deep_woods,hidden_timer,timer_challenge]
151;30  ;Past the Peculiar Pipes              ;base          ;[wooded,deep_woods,pipe]
152;31  ;By the Babbling Brook in Deep Woods  ;base          ;[wooded,captures,deep_woods,ground_pound,t_rex]
153;32  ;The Hard Rock in Deep Woods          ;base          ;[wooded,captures,deep_woods,ground_pound,t_rex]
154;33  ;A Treasure Made from Coins           ;base          ;[wooded,captures,deep_woods,seeds]
155;34  ;Beneath the Roots of the Moving Tree ;base          ;[wooded,cactus_tree,captures,deep_woods,ground_pound]
156;35  ;Deep Woods Treasure Trap             ;base          ;[wooded,deep_woods,treasure_chest]
157;36  ;Exploring for Treasure               ;base          ;[wooded,deep_woods,outfit_door,treasure_chest]
158;37  ;Wooded Kingdom Timer Challenge 1     ;world_peace   ;[wooded,swinging_pole,timer_challenge]
159;38  ;Wooded Kingdom Timer Challenge 2     ;world_peace   ;[wooded,timer_challenge]
160;39  ;Flooding Pipeway                     ;base          ;[wooded,pipe,sub_area]
161;40  ;Flooding Pipeway Ceiling Secret      ;base          ;[wooded,pipe,sub_area]
162;41  ;Wandering in the Fog                 ;mid_story     ;[wooded,captures,mini_rocket,moon_shard,paragoomba]
163;42  ;Nut Hidden in the Fog                ;mid_story     ;[wooded,captures,mini_rocket,nut,paragoomba]
164;43  ;Flower Road Run                      ;mid_story     ;[wooded,flora,sub_area]
165;44  ;Flower Road Reach                    ;mid_story     ;[wooded,captures,flora,goomba,sub_area]
166;45  ;Elevator Escalation                  ;mid_story     ;[wooded,cages,captures,sherm,sub_area]
167;46  ;Elevator Blind Spot                  ;mid_story     ;[wooded,blocks,captures,sherm,sub_area]
168;47  ;Walking on Clouds                    ;world_peace   ;[wooded,beanstalk,captures,uproot]
169;48  ;Above the Clouds                     ;world_peace   ;[wooded,beanstalk,captures,uproot]
170;49  ;Secret Path to the Steam Gardens!    ;mid_story     ;[wooded,artistic,painting]
171;50  ;Found with Wooded Kingdom Art        ;base          ;[wooded,artistic,ground_pound,hint_art]
172;1   ;Atop a Propeller Pillar              ;base          ;[lost,mario]
173;2   ;Below the Cliff's Edge               ;base          ;[lost,mario]
174;3   ;Inside the Stone Cage                ;base          ;[lost,mario]
175;4   ;On a Tree in the Swamp               ;base          ;[lost,captures,tropical_wiggler]
176;5   ;Over the Fuzzies - Above the Swamp   ;base          ;[lost,captures,tropical_wiggler]
177;6   ;Avoiding Fuzzies Inside the Wall     ;base          ;[lost,8bit]
178;7   ;Inside the Rising Stone Pillar       ;base          ;[lost,mario]
179;8   ;Enjoying the View of Forgotten Isle  ;base          ;[lost,mario]
180;9   ;On the Mountain Road                 ;base          ;[lost,butterfly,ground_pound]
181;10  ;A Propeller Pillar's Secret          ;base          ;[lost,butterfly,ground_pound]
182;11  ;Wrecked Rock Block                   ;base          ;[lost,blocks,cappy]
183;12  ;A Butterfly's Treasure               ;base          ;[lost,butterfly,cappy]
184;13  ;Caught Hopping in the Jungle!        ;revisit       ;[lost,rabbit]
185;14  ;Cave Gardening                       ;base          ;[lost,cappy,flora]
186;15  ;Moon Shards in the Jungle            ;base          ;[lost,captures,moon_shard,tropical_wiggler]
187;16  ;Peeking Out from Under the Bridge    ;base          ;[lost,captures,tropical_wiggler]
188;17  ;Twist 'n' Turn-Up Treasure           ;base          ;[lost,captures,key,tropical_wiggler]
189;18  ;Soaring Over Forgotten Isle!         ;base          ;[lost,captures,glydon]
190;19  ;The Caged Gold                       ;base          ;[lost,cages,cappy]
191;20  ;Get Some Rest - Captain Toad         ;base          ;[lost,captain_toad,captures,tropical_wiggler]
192;21  ;Shopping on Forgotten Isle           ;base          ;[lost,shop]
193;1   ;New Donk City's Pest Problem         ;base          ;[metro,captures,multi_moon]
194;2   ;Drummer on Board!                    ;mid_story     ;[metro,npc,story_moon]
195;3   ;Guitarist on Board!                  ;mid_story     ;[metro,npc,story_moon]
196;4   ;Bassist on Board!                    ;mid_story     ;[metro,npc,story_moon]
197;5   ;Trumpeter on Board!                  ;mid_story     ;[metro,npc,story_moon]
198;6   ;Powering Up the Station              ;mid_story     ;[metro,story_moon]
199;7   ;A Traditional Festival!              ;mid_story     ;[metro,multi_moon]
200;8   ;Inside an Iron Girder                ;base          ;[metro,girder,night]
201;9   ;Swaying in the Breeze                ;base          ;[metro,girder,night]
202;10  ;Girder Sandwich                      ;base          ;[metro,girder,night]
203;11  ;Glittering Above the Pool            ;mid_story     ;[metro,mario]
204;12  ;Dizzying Heights                     ;mid_story     ;[metro,mario]
205;13  ;Secret Girder Tunnel!                ;mid_story     ;[metro,girder]
206;14  ;Who Piled Garbage on This?           ;mid_story     ;[metro,ground_pound,trash]
207;15  ;Hidden in the Scrap                  ;mid_story     ;[metro,ground_pound,trash]
208;16  ;Left at the Café?                    ;mid_story     ;[metro,ground_pound]
209;17  ;Caught Hopping on a Building!        ;world_peace   ;[metro,rabbit]
210;18  ;How Do They Take Out the Trash?      ;mid_story     ;[metro,trash]
211;19  ;Metro Kingdom Timer Challenge 1      ;world_peace   ;[metro,timer_challenge]
212;20  ;Metro Kingdom Timer Challenge 2      ;world_peace   ;[metro,key,switch,timer_challenge]
213;21  ;City Gardening: Building Planter     ;mid_story     ;[metro,seeds]
214;22  ;City Gardening: Plaza Planter        ;mid_story     ;[metro,seeds]
215;23  ;City Gardening: Rooftop Planter      ;mid_story     ;[metro,seeds]
216;24  ;How You Doin' - Captain Toad?        ;mid_story     ;[metro,captain_toad]
217;25  ;Free Parking: Rooftop Hop            ;mid_story     ;[metro,mario]
218;26  ;Bench Friends                        ;mid_story     ;[metro,npc]
219;27  ;Shopping in New Donk City            ;base          ;[metro,night,shop]
220;28  ;Metro Kingdom Slots                  ;mid_story     ;[metro,cappy,minigame]
221;29  ;Jump-Rope Hero                       ;mid_story     ;[metro,minigame]
222;30  ;Jump-Rope Genius                     ;mid_story     ;[metro,minigame]
223;31  ;Remotely Captured Car                ;mid_story     ;[metro,captures]
224;32  ;RC Car Pro!                          ;mid_story     ;[metro,captures,minigame]
225;33  ;Taking Notes: In the Private Room    ;mid_story     ;[metro,8bit,music_note]
226;34  ;City Hall Lost & Found               ;base          ;[metro,night,treasure_chest]
227;35  ;Sewer Treasure                       ;mid_story     ;[metro,manhole]
228;36  ;Celebrating in the Streets!          ;mid_story     ;[metro,8bit]
229;37  ;Pushing Through the Crowd            ;mid_story     ;[metro,cappy,hidden_timer,sub_area,timer_challenge]
230;38  ;High Over the Crowd                  ;mid_story     ;[metro,hidden_timer,sub_area]
231;39  ;Rewiring the Neighborhood            ;mid_story     ;[metro,captures,moon_shard,outfit_door,spark_pylon]
232;40  ;Off the Beaten Wire                  ;mid_story     ;[metro,captures,outfit_door,spark_pylon,wooden_crates]
233;41  ;Moon Shards Under Siege              ;mid_story     ;[metro,captures,moon_shard,sherm,sub_area]
234;42  ;Sharpshooting Under Siege            ;mid_story     ;[metro,captures,sherm,sub_area]
235;43  ;Inside the Rotating Maze             ;mid_story     ;[metro,manhole,moon_shard,sub_area]
236;44  ;Outside the Rotating Maze            ;mid_story     ;[metro,manhole,sub_area]
237;45  ;Hanging from a High-Rise             ;mid_story     ;[metro,mini_rocket,swinging_pole]
238;46  ;Vaulting Up a High-Rise              ;mid_story     ;[metro,mini_rocket,swinging_pole]
239;47  ;Bullet Billding                      ;mid_story     ;[metro,bullet_bill,captures,sub_area]
240;48  ;One Man's Trash...                   ;mid_story     ;[metro,bullet_bill,captures,sub_area,trash]
241;49  ;Motor Scooter: Escape!               ;mid_story     ;[metro,captures,sub_area,t_rex]
242;50  ;Big Jump: Escape!                    ;mid_story     ;[metro,captures,sub_area,t_rex]
243;51  ;Secret Path to New Donk City!        ;mid_story     ;[metro,artistic,night,painting]
244;52  ;A Tourist in the Metro Kingdom!      ;world_peace   ;[metro,npc]
245;53  ;Found with Metro Kingdom Art         ;mid_story     ;[metro,artistic,ground_pound,hint_art,poochy]
246;1   ;The Icicle Barrier                   ;base          ;[snow,captures,goomba,shiveria,story_moon]
247;2   ;The Ice Wall Barrier                 ;base          ;[snow,moon_shard,shiveria,story_moon]
248;3   ;The Gusty Barrier                    ;base          ;[snow,captures,shiveria,story_moon,ty_foo]
249;4   ;The Snowy Mountain Barrier           ;base          ;[snow,shiveria,story_moon]
250;5   ;The Bound Bowl Grand Prix            ;base          ;[snow,captures,minigame,multi_moon,shiveria]
251;6   ;Entrance to Shiveria                 ;base          ;[snow,shiveria]
252;7   ;Behind Snowy Mountain                ;base          ;[snow,shiveria]
253;8   ;Shining in the Snow in Town          ;base          ;[snow,ground_pound,shiveria]
254;9   ;Atop a Blustery Arch                 ;base          ;[snow,captures,ground_pound,shiveria,ty_foo]
255;10  ;Caught Hopping in the Snow!          ;world_peace   ;[snow,overworld,rabbit]
256;11  ;The Shiverian Treasure Chest         ;base          ;[snow,shiveria,treasure_chest]
257;12  ;Treasure in the Ice Wall             ;base          ;[snow,ledge_grab,shiveria,treasure_chest]
258;13  ;Snow Kingdom Timer Challenge 1       ;world_peace   ;[snow,overworld,timer_challenge]
259;14  ;Snow Kingdom Timer Challenge 2       ;world_peace   ;[snow,overworld,timer_challenge]
260;15  ;Moon Shards in the Snow              ;world_peace   ;[snow,moon_shard,overworld]
261;16  ;Taking Notes: Snow Path Dash         ;world_peace   ;[snow,music_note,overworld]
262;17  ;Fishing in the Glacier!              ;world_peace   ;[snow,captures,lakitu_fishing,overworld]
263;18  ;Ice-Dodging Goomba Stack             ;base          ;[snow,captures,goomba,shiveria]
264;19  ;Captain Toad is Chilly!              ;base          ;[snow,captain_toad,overworld]
265;20  ;I'm Not Cold!                        ;world_peace   ;[snow,npc,shiveria]
266;21  ;Shopping in Shiveria                 ;base          ;[snow,shiveria,shop]
267;22  ;Walking on Ice!                      ;world_peace   ;[snow,minigame,npc,overworld]
268;23  ;Snowline Circuit Class S             ;world_peace   ;[snow,captures,minigame,shiveria]
269;24  ;Dashing Over Cold Water!             ;world_peace   ;[snow,overworld,rocket_flower,sub_area]
270;25  ;Dashing Above and Beyond!            ;world_peace   ;[snow,overworld,rocket_flower,sub_area]
271;26  ;Jump 'n' Swim in the Freezing Water  ;world_peace   ;[snow,overworld,sub_area]
272;27  ;Freezing Water Near the Ceiling      ;world_peace   ;[snow,overworld,sub_area]
273;28  ;Blowing and Sliding                  ;world_peace   ;[snow,captures,overworld,ty_foo]
274;29  ;Moon Shards in the Cold Room         ;base          ;[snow,hybrid_2d,moon_shard,outfit_door,shiveria]
275;30  ;Slip Behind the Ice                  ;base          ;[snow,8bit,hybrid_2d,outfit_door,shiveria]
276;31  ;Spinning Above the Clouds            ;world_peace   ;[snow,beanstalk,overworld]
277;32  ;High-Altitude Spinning               ;world_peace   ;[snow,beanstalk,overworld]
278;34  ;Found with Snow Kingdom Art          ;base          ;[snow,artistic,ground_pound,hint_art,poochy,shiveria]
279;1   ;The Stone Pillar Seal                ;base          ;[seaside,captures,story_moon]
280;2   ;The Lighthouse Seal                  ;base          ;[seaside,maw_ray,story_moon]
281;3   ;The Hot Spring Seal                  ;base          ;[seaside,captures,story_moon]
282;4   ;The Seal Above the Canyon            ;base          ;[seaside,story_moon]
283;5   ;The Glass Is Half Full!              ;base          ;[seaside,captures,multi_moon]
284;6   ;On the Cliff Overlooking the Beach   ;base          ;[seaside,captures,gushen]
285;7   ;Ride the Jetstream                   ;base          ;[seaside,captures,gushen]
286;8   ;Ocean-Bottom Maze: Treasure          ;base          ;[seaside,8bit]
287;9   ;Ocean-Bottom Maze: Hidden Room       ;base          ;[seaside,8bit]
288;10  ;Underwater Highway Tunnel            ;base          ;[seaside,captures,cheep_cheep]
289;11  ;Shh! It's a Shortcut!                ;base          ;[seaside,captures,cheep_cheep]
290;12  ;Gap in the Ocean Trench              ;base          ;[seaside,captures,cheep_cheep]
291;13  ;Slip Through the Nesting Spot        ;base          ;[seaside,captures,cheep_cheep,maw_ray]
292;14  ;Merci - Dorrie!                      ;base          ;[seaside,dorrie]
293;15  ;Bonjour - Dorrie!                    ;world_peace   ;[seaside,dorrie]
294;16  ;Under a Dangerous Ceiling            ;base          ;[seaside,ground_pound,komboo]
295;17  ;What the Waves Left Behind           ;base          ;[seaside,ground_pound,komboo]
296;18  ;The Back Canyon: Excavate!           ;base          ;[seaside,ground_pound]
297;19  ;Bubblaine Northern Reaches           ;base          ;[seaside,ground_pound,komboo]
298;20  ;Wriggling on the Sandy Bottom        ;base          ;[seaside,ground_pound,lurker_rumble]
299;21  ;Glass Palace Treasure Chest          ;base          ;[seaside,komboo,treasure_chest]
300;22  ;Treasure Trap Hidden in the Inlet    ;base          ;[seaside,treasure_chest]
301;23  ;Sea Gardening: Inlet Seed            ;base          ;[seaside,seeds]
302;24  ;Sea Gardening: Canyon Seed           ;base          ;[seaside,seeds]
303;25  ;Sea Gardening: Hot-Spring Seed       ;base          ;[seaside,seeds]
304;26  ;Sea Gardening: Ocean Trench Seed     ;base          ;[seaside,captures,gushen,seeds]
305;27  ;Seaside Kingdom Timer Challenge 1    ;base          ;[seaside,8bit,switch,timer_challenge]
306;28  ;Seaside Kingdom Timer Challenge 2    ;world_peace   ;[seaside,timer_challenge]
307;29  ;Found on the Beach! Good Dog!        ;world_peace   ;[seaside,fauna,ground_pound]
308;30  ;Moon Shards in the Sea               ;base          ;[seaside,maw_ray,moon_shard]
309;31  ;Taking Notes: Ocean Surface Dash     ;base          ;[seaside,music_note,rocket_flower]
310;32  ;Love by the Seaside                  ;base          ;[seaside,captures,goomba]
311;33  ;Lighthouse Leaper                    ;world_peace   ;[seaside,captures,glydon]
312;34  ;Good Job - Captain Toad!             ;base          ;[seaside,captain_toad,captures,gushen]
313;35  ;Ocean Quiz: Good!                    ;base          ;[seaside,sphynx]
314;36  ;Shopping in Bubblaine                ;base          ;[seaside,shop]
315;37  ;Beach Volleyball: Champ              ;world_peace   ;[seaside,minigame]
316;38  ;Beach Volleyball: Hero of the Beach! ;world_peace   ;[seaside,minigame]
317;39  ;Looking Back in the Dark Waterway    ;base          ;[seaside,captures,cheep_cheep,maw_ray]
318;40  ;The Sphynx's Underwater Vault        ;base          ;[seaside,sphynx,treasure_chest]
319;41  ;A Rumble on the Seaside Floor        ;base          ;[seaside,ground_pound,lurker_rumble]
320;42  ;A Relaxing Dance                     ;base          ;[seaside,outfit_door]
321;43  ;Wading in the Cloud Sea              ;base          ;[seaside,mini_rocket]
322;44  ;Sunken Treasure in the Cloud Sea     ;base          ;[seaside,mini_rocket,treasure_chest]
323;45  ;Fly Through the Narrow Valley        ;base          ;[seaside,captures,gushen,sub_area]
324;46  ;Treasure Chest in the Narrow Valley  ;base          ;[seaside,captures,gushen,sub_area,treasure_chest]
325;47  ;Hurry and Stretch                    ;base          ;[seaside,captures,sub_area,uproot]
326;48  ;Stretch on the Side Path             ;base          ;[seaside,captures,sub_area,uproot]
327;50  ;Found with Seaside Kingdom Art       ;base          ;[seaside,artistic,ground_pound,hint_art]
328;1   ;The Broodals Are After Some Cookin   ;base          ;[luncheon,story_moon]
